Broad Domain 1,Broad Domain 2,Broad Domain 3,Hoos TC Title ,Undergrad scenario body,Undergrad scenario body #2 (negation scenarios only),Undergrad comprehension question,Undergrad correct response,Undergrad incorrect response,Undergrad photo link,Undergrad photo name,Letters Missing,Occurrence
Academics/Work/Career Development,Social Situations,,The Meeting,You are walking to an important meeting with your professor. Suddenly your mind goes blank as you reach for the doorknob to her office. You think about your mind going blank and think that this is normal.,N/A,Is it scary that your mind went blank right before your meeting?,No,,https://drive.google.com/file/d/1v_4FGXs96Yggu3t319aUfGuvOfo--Ji7/view?usp=sharing,1.jpeg,1,3
Academics/Work/Career Development,Mental Health,,A big presentation,You are about to give an important presentation. You are anxious about it. This feeling makes you exhilarated.,N/A,Are you excited about the presentation?,Yes,,https://drive.google.com/file/d/1Isymza3G0kL57wzhqwxZgxIn5utKL9wO/view?usp=sharing,2.jpeg,1,3
Academics/Work/Career Development,,,New opportunity,You are at a CIO meeting and find out that an opportunity for promotion in your organization just came up. You think you might be eligible and decide to ask your friend in exec for more details. They tell you that the selection criteria are very strict and that your application will likely be rejected.,"The next day, you bump into the exec member in the corridor. You then realize that although they think you may not be ready for promotion just yet, they strongly believe you are capable of being ready for one next year and are likely to succeed.",The exec member thinks you shouldn't apply for a promotion now because ...,You will be ready for one next year.,You will never be capable.,https://drive.google.com/file/d/1OpOhL2p65K4b_HCgRQpLm16ZlkzUCe2s/view?usp=sharing,3.jpeg,1,4
Academics/Work/Career Development,,,A sudden stumble,"It is your first day at a new job, and you report to your manager. As you approach them, you stumble, then recover. They noticed, and their first impression of you is probably that you are very prepared.",N/A,Your manager will probably think that ...,You are ready to take on challenges.,You are a clumsy person.,https://drive.google.com/file/d/1DttLONiIj8xl29lRpUM8ExKkKo4JbVNe/view?usp=sharing,4.jpeg,1,2
Academics/Work/Career Development,Social Situations,,Showcasing your experience,"Your new teaching assistant calls a meeting to meet everyone and asks each of you in turn to present yourself and your prior experience. When it is your turn to speak, you pause frequently. As you reflect on the meeting later in the day, you feel that the teaching assistant thought you sounded silly.",N/A,Your teaching assistant probably found you to be ...,Unprepared and lacking. ,Effective,https://drive.google.com/file/d/1npkE7h685FSS9kM33IyEeOyngro5KOvm/view?usp=sharing,5.jpeg,1,3
Academics/Work/Career Development,,,Noisy Neighbors,"Your neighbors were really loud last night so you couldn't sleep. You have a huge exam this morning in your least favorite class. As you think about how you'll do on the test, you feel prepared.",,Are you ready for your exam?,Yes,,https://drive.google.com/file/d/1HsDUCeU29zHEdpx6zFJUNO-bHxtE6WBU/view?usp=sharing,6.jpeg,1,2
Academics/Work/Career Development,,,Ready to Work,"You have a big assignment due tomorrow. You've been procrastinating getting it done because it is going to be hard. When you think about whether you will be able to do the work, you think you can.",,Are you going to complete your assignment?,Yes,,https://drive.google.com/file/d/1ctfYI6TZJr5mbm-BjK9jNskpLStAn1mj/view?usp=sharing,7.jpeg,1,2
Academics/Work/Career Development,Social Situations,,Feedback on your work,"You recently turned in a paper, and your TA asks to see you about your work. As you walk into their office, they tell you to sit down because there's lots of feedback to go through, and they look at you with a frown.","During the meeting, you realize that your TA is taking great care to give you useful feedback and that they see this as a way to provide you with a valuable learning opportunity.",Your TA probably thinks that ...,You have great potential.,You are incapable.,https://drive.google.com/file/d/1LeCW8Zaw5qO3kfJKG0mZmeeHjw8dApHc/view?usp=sharing,8.jpeg,1,2
Academics/Work/Career Development,,,The Difficult Course,"You have enrolled in a programming class because you think it will be a useful skill to acquire going forward. You know the demand for people with programming skills is increasing, but the course is very difficult. ","Imagining how you will do in the class, you do not see yourself failing, but instead you believe your efforts to learn some programming skills will be successful.",Do you think you will be effective at picking up some programming skills?,Yes,No,https://drive.google.com/file/d/18HsxK2zdx8J0wLQE1QZITsfajDWRjgaX/view?usp=sharing,9.jpeg,1,4
Academics/Work/Career Development,Social Situations,,Word stumbling,"For a course requirement, you have to make a presentation to your classmates and your professor. As you start, you stumble on your first few words. Continuing with it, you think that your performance will be evaluated positively.",N/A,Do you think others will like your presentation?,Yes,,https://drive.google.com/file/d/1xUVHP-lj26dCvOIiMMMta2bgIGRH5hR9/view?usp=sharing,10.jpeg,1,3
